Disease,Symptoms,Precautions,Drugs
Merkel Cell Carcinoma,Fast-growing skin nodule - Red or purple patches - Swollen lymph nodes,Skin biopsy - Surgery - Radiation therapy - Immunotherapy,Avelumab - Pembrolizumab - Ipilimumab
Myelodysplastic Syndromes (MDS),Fatigue - Frequent infections - Easy bruising or bleeding - Shortness of breath,Bone marrow biopsy - Blood tests - Supportive care - Stem cell transplant,Azacitidine - Decitabine - Lenalidomide
Myelofibrosis,Fatigue - Enlarged spleen or liver - Anemia - Night sweats,Blood tests - Imaging tests - Medications - Stem cell transplant,Ruxolitinib - Fedratinib - Danazol
Peripheral Nerve Tumors,Neurological symptoms - Numbness or tingling - Weakness - Pain,Imaging tests - Surgery - Radiation therapy - Chemotherapy,Imatinib - Vincristine - Bevacizumab
Retinoblastoma,White pupil - Crossed eyes - Redness or swelling in the eye,Retinal examination - Surgery - Chemotherapy - Radiation therapy,Carboplatin - Vincristine - Etoposide
Rhabdomyosarcoma,Lump or swelling - Pain or tenderness - Unexplained weight loss,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Vincristine - Dactinomycin - Ifosfamide
Thymic Carcinoma,Thymus tumor - Chest pain - Cough - Difficulty breathing,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Cisplatin - Etoposide - Pembrolizumab
Wilms Tumor,Abdominal swelling or pain - Blood in urine - High blood pressure,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Dactinomycin - Vincristine - Doxorubicin
Ewing Sarcoma,Bone pain - Swelling - Fever - Fatigue,Imaging tests - Biopsy - Surgery - Chemotherapy,Vincristine - Doxorubicin - Cyclophosphamide
Adrenocortical Carcinoma,Abdominal pain - Weight gain or loss - High blood pressure - Sweating,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Mitotane - Etoposide - Cisplatin
Inflammatory Breast Cancer,Breast redness or swelling - Warmth or tenderness - Thickened skin - Rapid breast changes,Breast biopsy - Chemotherapy - Surgery - Radiation therapy,Anthracycline-based regimens - Trastuzumab - Pertuzumab
Mucosal Melanoma,Changes in moles or skin lesions - Bleeding or discharge - Unexplained weight loss,Skin biopsy - Surgery - Immunotherapy - Targeted therapy,Ipilimumab - Nivolumab - Dabrafenib
Paget's Disease of the Breast,Redness or flakiness on the nipple or areola - Itching - Burning sensation,Breast biopsy - Mammogram - Surgery - Radiation therapy,Tamoxifen - Anastrozole - Letrozole
Primary Central Nervous System (CNS) Lymphoma,Headaches - Confusion - Seizures - Vision changes,Brain imaging - Lumbar puncture - Chemotherapy - Radiation therapy,Methotrexate - Rituximab - Thiotepa
Small Cell Lung Cancer (SCLC),Persistent cough - Shortness of breath - Chest pain - Unexplained weight loss,Smoking cessation - Chemotherapy - Radiation therapy - Immunotherapy,Cisplatin - Etoposide - Atezolizumab
Large Cell Lung Cancer,Chronic cough - Chest pain - Shortness of breath - Unexplained weight loss,Smoking cessation - Chemotherapy - Radiation therapy - Immunotherapy,Cisplatin - Carboplatin - Pembrolizumab
Sarcoma,Soft tissue mass - Pain or tenderness - Limited range of motion - Fatigue,Imaging tests - Surgery - Chemotherapy - Radiation therapy,Ifosfamide - Doxorubicin - Pazopanib
Uveal Melanoma,Changes in vision - Dark spots on the iris - Eye pain - Blind spots in vision,Eye exams - Surgery - Radiation therapy - Immunotherapy,Plaque radiotherapy - Enucleation - Ipilimumab
Hairy Cell Leukemia,Fatigue - Enlarged spleen or liver - Frequent infections - Easy bruising or bleeding,Blood tests - Bone marrow biopsy - Supportive care - Cladribine - Pentostatin
Acne,Pimples - Blackheads - Whiteheads - Inflammation,Regular cleansing - Avoiding picking or squeezing,Topical retinoids - Benzoyl peroxide - Antibiotics
Psoriasis,Red - scaly patches - Itching - Silvery scales,Sun protection - Moisturizers - Stress management,Topical corticosteroids - Vitamin D analogs - Biologics
Eczema (Dermatitis),Itchy skin - Redness - Dry, cracked skin - Inflammation,Moisturizing - Avoiding irritants - Gentle cleansing,Topical corticosteroids - Antihistamines - Calcineurin inhibitors
Rosacea,Redness - Visible blood vessels - Bumps - Eye irritation,Sun protection - Avoiding triggers - Gentle skincare,Topical antibiotics - Oral antibiotics - Laser therapy
Dermatitis Herpetiformis,Itchy - red bumps - Blistering - Burning sensation,Gluten-free diet - Medications for symptom relief,Dapsone - Sulfapyridine
Vitiligo,Loss of skin color - Depigmented patches - Sun protection - Cosmetic camouflage - Topical corticosteroids - Phototherapy,Topical calcineurin inhibitors - Psoralen plus ultraviolet A (PUVA)
Hives (Urticaria),Raised - itchy welts - Red or skin-colored,Allergen avoidance - Antihistamines - Cool compresses,Oral antihistamines - Corticosteroids - Epinephrine
Lupus Erythematosus,Butterfly rash on face - Joint pain - Fatigue - Photosensitivity,Sun protection - Avoiding triggers - Medications,Hydroxychloroquine - Corticosteroids - Immunosuppressants
Actinic Keratosis,Rough - scaly patches - Itching - Red or pink growths,Sun protection - Regular skin checks - Topical treatments,5-Fluorouracil - Imiquimod - Cryotherapy
Impetigo,Red sores - Blisters - Yellowish-brown crusts,Hand hygiene - Avoiding skin-to-skin contact - Antibiotic ointments,Topical or oral antibiotics
Cellulitis,Red - swollen skin - Pain - Warmth - Fever,Wound care - Antibiotics - Elevation of affected area,Cephalexin - Dicloxacillin - Clindamycin
Folliculitis,Red - inflamed hair follicles - Pimples - Itching,Cleanliness - Avoiding tight clothing - Topical antibiotics - Antifungal agents,Clindamycin - Mupirocin - Ketoconazole
Ringworm (Dermatophytosis),Circular - red rash - Itching - Scaling,Avoiding infected animals - Antifungal creams - Oral antifungals,Clotrimazole - Terbinafine - Fluconazole
Shingles (Herpes Zoster),Painful rash - Blistering - Itching,Vaccination - Pain management - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
Cold Sores (Herpes Simplex),Painful - fluid-filled blisters - Itching - Burning,Sun protection - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
Molluscum Contagiosum,Small, raised bumps - White or waxy in appearance,Avoiding skin-to-skin contact - Topical treatments - Cryotherapy,Cantharidin - Imiquimod - Curettage
Lichen Planus,Purplish, flat-topped bumps - Itching - Mouth sores,Topical corticosteroids - Antihistamines - Phototherapy,Tacrolimus - Hydroxychloroquine
Keloids,Overgrown scar tissue - Raised - rubbery lesions,Avoiding skin trauma - Silicone sheets - Corticosteroid injections,Corticosteroid creams - Cryotherapy - Laser therapy
Melasma,Dark - brown patches on face - Sun-induced, Sun protection - Topical treatments - Chemical peels,Hydroquinone - Tretinoin - Azelaic acid
Seborrheic Dermatitis,Red - scaly patches - Dandruff - Itching,Gentle cleansing - Anti-fungal shampoos - Topical corticosteroids,Ketoconazole - Selenium sulfide - Hydrocortisone
Miliaria (Heat Rash),Tiny red bumps - Itching - Prickling sensation,Cooling measures - Loose-fitting clothing - Avoiding excessive heat,Topical corticosteroids - Calamine lotion
Necrotizing Fasciitis,Severe pain - Red or purple skin discoloration - Fever,Immediate medical attention - Antibiotics - Surgery,Broad-spectrum antibiotics - Surgical debridement
Granuloma Annulare,Red or skin-colored bumps - Ring-shaped patches - Itching,Topical corticosteroids - Cryotherapy - Phototherapy,Tacrolimus - Pimecrolimus
Lipomas,Soft - rubbery lumps under the skin,Observation - Surgical removal,Excision
Prurigo Nodularis,Itchy nodules - Rough, scaly patches - Secondary infections,Avoiding scratching - Topical steroids - Antihistamines,Topical corticosteroids - Tacrolimus
Angioedema,Sudden swelling - Pain - Itching,Avoiding triggers - Antihistamines - Corticosteroids,Epinephrine - Cetirizine - Prednisone
Erythema Multiforme,Target-like rash - Blisters - Itching,Avoiding triggers - Symptomatic treatment - Corticosteroids,Antihistamines - Acetaminophen - Prednisone
Pityriasis Rosea,Oval - scaly patches - Itching - Herald patch,Observation - Sun protection - Topical steroids,Acyclovir - Phototherapy
Scabies,Itching - Pimple-like bumps - Burrows,Topical scabicides - Laundering of bedding and clothing - Avoiding close contact,Permethrin - Ivermectin - Crotamiton
Lichen Sclerosus,White - thin patches - Itching - Pain,Tight clothing avoidance - Moisturizers - Topical corticosteroids,Clobetasol - Tacrolimus - Ultraviolet (UV) light therapy
Ichthyosis,Very dry - scaly skin - Cracked skin - Fish-like scales,Moisturizers - Exfoliating - Topical retinoids,Emollients - Lactic acid creams - Tazarotene
Xeroderma Pigmentosum,Freckle-like spots - Skin cancers - Photosensitivity,Sun protection - Protective clothing - Regular skin checks,Cryotherapy - Excision - Laser therapy
Dercum's Disease,Painful lipomas - Fatigue - Joint pain,Symptomatic treatment - Pain management - Weight control,Gabapentin - Lidocaine patches - Corticosteroids
Cutis Laxa,Loss of skin elasticity - Wrinkling - Loose, sagging skin,Avoiding smoking - Supportive care - Surgical procedures,Plastic surgery - Dermabrasion - Skin grafting
Porphyria,Blistering - Photosensitivity - Abdominal pain,Avoiding triggers - Sun protection - Symptomatic treatment,Intravenous heme - Pain management - Beta-carotene
Ichthyosis Vulgaris,Dry - scaly skin - Fish-like scales - Itching,Moisturizers - Exfoliating - Topical retinoids,Emollients - Lactic acid creams - Tazarotene
Cutaneous T-Cell Lymphoma,Itchy skin - Red rash - Enlarged lymph nodes,Skin biopsy - Topical treatments - Phototherapy - Chemotherapy,Bexarotene - Vorinostat - Brentuximab vedotin
Stevens-Johnson Syndrome,Flu-like symptoms - Rash - Blisters - Mucous membrane involvement,Immediate medical attention - Supportive care - Corticosteroids,Intravenous immunoglobulin - Cyclosporine - Prednisone
Pemphigoid,Blisters - Itching - Rash - Mouth sores,Topical corticosteroids - Immunosuppressants - Antibiotics,Dapsone - Prednisone - Methotrexate
Hidradenitis Suppurativa,Painful lumps - Boil-like lesions - Scarring,Avoiding tight clothing - Weight control - Antibacterial washes,Clindamycin - Adalimumab - Corticosteroids
Epidermolysis Bullosa,Blisters - Skin fragility - Scarring,Protective bandaging - Wound care - Pain management,Topical antibiotics - Dressing changes - Physical therapy
Guttate Psoriasis,Small - red spots - Itching - Scaling,Sun protection - Topical treatments - Phototherapy,Topical corticosteroids - Vitamin D analogs - Coal tar
Dermatomyositis,Rash - Muscle weakness - Joint pain,Sun protection - Physical therapy - Immunosuppressants,Glucocorticoids - Methotrexate - Azathioprine
Ichthyosis Hystrix,Spiky - cone-shaped scales - Thickened skin - Cracking,Moisturizers - Exfoliating - Topical retinoids,Emollients - Lactic acid creams - Tazarotene
Mastocytosis,Itching - Flushing - Hives - Abdominal pain,Avoiding triggers - Antihistamines - Epinephrine,Cromolyn - Antileukotrienes - Imatinib
Neurofibromatosis,Tumors on or under the skin - Cafe-au-lait spots - Learning disabilities,Observation - Surgical removal - Symptomatic treatment,Losartan - Sirolimus - Tumor excision
Candidiasis,Red, itchy rash - White patches - Fissures,Avoiding moisture - Antifungal creams - Oral antifungals,Clotrimazole - Fluconazole - Nystatin
Neurodermatitis,Itchy patches - Lichenification - Red or brown patches,Avoiding scratching - Topical steroids - Antihistamines,Triamcinolone - Doxepin - Hydroxyzine
Keratosis Pilaris,Rough - bumpy skin - Redness - Plugged hair follicles,Moisturizing - Gentle exfoliation - Topical retinoids,Salicylic acid - Lactic acid creams - Tretinoin
Solar Lentigines (Sunspots),Flat - brown spots - Sun-induced,Sun protection - Topical treatments - Chemical peels,Hydroquinone - Tretinoin - Laser therapy
Tinea Versicolor,Light or dark patches - Itching - Scaling,Sun protection - Antifungal creams - Selenium sulfide,Ketoconazole - Clotrimazole - Fluconazole
Nevus Sebaceous,Yellowish - raised plaque - Hair loss - Skin changes,Observation - Surgical removal - Laser therapy,Excision - Dermabrasion - CO2 laser
Urticarial Vasculitis,Wheals - Itching - Painful lesions,Avoiding triggers - Antihistamines - Corticosteroids,Hydroxyzine - Prednisone - Azathioprine
Morphea (Localized Scleroderma),Hardened patches - Discoloration - Itching,Topical corticosteroids - Phototherapy - Physical therapy,Methotrexate - UVA1 phototherapy - Corticosteroids
Cutaneous Leishmaniasis,Red papules or nodules - Ulcers - Scarring,Avoiding sandfly bites - Antiparasitic medications,Pentamidine - Miltefosine - Amphotericin B
Dressler Syndrome,Chest pain - Fever - Pericarditis - Pleuritis,Avoiding triggers - Pain management - Anti-inflammatory drugs,Aspirin - Colchicine - Prednisone
Angiokeratoma,Crusted - raised bumps - Dark red or purple color,Observation - Laser therapy - Surgical removal,Laser ablation - Cryotherapy - Excision
Epidermolytic Ichthyosis,Thickened, scaly skin - Cracking - Blistering,Moisturizers - Exfoliating - Topical retinoids,Emollients - Lactic acid creams - Tazarotene
Toxic Epidermal Necrolysis,Skin detachment - Flu-like symptoms - Mucous membrane involvement,Immediate medical attention - Supportive care - Corticosteroids,Intravenous immunoglobulin - Cyclosporine - Prednisone
Scleroderma (Systemic),Hardened skin - Joint pain - Fatigue,Regular skin checks - Physical therapy - Immunosuppressants,Corticosteroids - Methotrexate - Mycophenolate mofetil
Dystrophic Epidermolysis Bullosa,Blisters - Skin fragility - Scarring,Protective bandaging - Wound care - Pain management,Topical antibiotics - Dressing changes - Physical therapy
Xeroderma,Persistent dry skin - Itching - Fine lines,Moisturizers - Sun protection - Topical retinoids,Emollients - Lactic acid creams - Tretinoin
Tuberous Sclerosis Complex,Reddish patches - Facial growths - Seizures - Intellectual disabilities,Observation - Surgical removal - Antiepileptic drugs,Topical corticosteroids - Laser therapy - Vigabatrin
Polymorphic Light Eruption,Rash - Itching - Red or inflamed skin,Sun protection - Gradual sun exposure - Topical corticosteroids,Hydrocortisone - Prednisone - Antihistamines
Confluent and Reticulated Papillomatosis,Brown patches - Scaling - Central network of lines,Avoiding triggers - Antibacterial washes - Topical antibiotics,Minocycline - Azithromycin - Ketoconazole
Subcutaneous Panniculitis-Like T-Cell Lymphoma,Subcutaneous nodules - Skin thickening - Pain,Avoiding triggers - Immunosuppressants - Chemotherapy,CHOP regimen - Methotrexate - Brentuximab vedotin
COVID-19,Fever - Cough - Shortness of breath - Loss of taste or smell,Vaccination - Mask-wearing - Social distancing - Hand hygiene,Remdesivir - Dexamethasone - Monoclonal antibodies
Chickenpox,Itchy rash - Fever - Fatigue - Headache,Varicella vaccination - Isolation - Antiviral medications,Acyclovir - Valacyclovir
Measles,High fever - Cough - Runny nose - Koplik spots (white spots in the mouth),Measles vaccination - Isolation - Vitamin A supplements,Supportive care - Vitamin A supplementation
Mumps,Swollen salivary glands - Fever - Headache - Muscle aches,Mumps vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers - Ice packs
Rubella (German Measles),Pink rash - Mild fever - Swollen lymph nodes,Rubella vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers
Mononucleosis (Mono),Fatigue - Sore throat - Swollen lymph nodes - Fever,Avoiding close contact - Rest - Hydration,Supportive care - Corticosteroids - Antiviral medications
Shingles (Herpes Zoster),Painful rash - Blistering - Itching,Vaccination - Pain management - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
HIV/AIDS,Fatigue - Fever - Weight loss - Night sweats,HIV prevention - Antiretroviral therapy (ART) - Safe sex practices,Highly Active Antiretroviral Therapy (HAART)
Dengue Fever,High fever - Severe headache - Joint and muscle pain - Rash,Mosquito control - Avoiding mosquito bites - Fluid replacement,Supportive care - Pain relievers
West Nile Virus,Fever - Headache - Body aches - Skin rash,Mosquito control - Avoiding mosquito bites - Insect repellents,Supportive care - Pain relievers
Zika Virus,Fever - Rash - Joint pain - Conjunctivitis,Mosquito control - Avoiding mosquito bites - Safe sex practices,Supportive care - Rest - Hydration
Norovirus,Gastrointestinal symptoms - Vomiting - Diarrhea - Abdominal cramps,Hand hygiene - Food safety - Isolation,Hydration - Electrolyte replacement - Antiemetics
Rotavirus,Diarrhea - Vomiting - Fever - Abdominal pain,Oral rotavirus vaccination - Hand hygiene - Isolation,Hydration - Electrolyte replacement - Antiemetics
Hepatitis A,Jaundice - Fatigue - Abdominal pain - Dark urine,Hepatitis A vaccination - Hand hygiene - Safe food and water practices,Supportive care - Rest - Hydration
Hepatitis B,Jaundice - Fatigue - Abdominal pain - Joint pain,Hepatitis B vaccination - Safe sex practices - Avoiding sharing needles,Antiviral medications - Interferon - Liver transplant
Hepatitis C,Fatigue - Jaundice - Abdominal pain - Nausea,Hepatitis C screening - Safe sex practices - Avoiding sharing needles,Direct-acting antivirals (DAAs)
Herpes Simplex Virus (HSV),Painful sores - Itching - Fever - Headache,Condom use - Avoiding close contact during outbreaks - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
Human Papillomavirus (HPV),Genital warts - Cervical dysplasia - Throat cancer - No symptoms,HPV vaccination - Safe sex practices - Pap smears,Podophyllotoxin - Imiquimod - Cryotherapy
Meningitis (Viral),Fever - Headache - Stiff neck - Photophobia,Hand hygiene - Avoiding close contact - Meningitis vaccination,Supportive care - Antiviral medications
Infectious Mononucleosis (Mono),Fatigue - Sore throat - Swollen lymph nodes - Fever,Avoiding close contact - Rest - Hydration,Supportive care - Corticosteroids - Antiviral medications
Yellow Fever,Fever - Headache - Muscle pain - Jaundice,Yellow fever vaccination - Mosquito control - Avoiding mosquito bites,Supportive care - Symptomatic treatment
Chikungunya Virus,Fever - Joint pain - Rash - Muscle pain,Mosquito control - Avoiding mosquito bites - Symptomatic treatment,Supportive care - Pain relievers
Mumps,Swollen salivary glands - Fever - Headache - Muscle aches,Mumps vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers - Ice packs
Hantavirus Pulmonary Syndrome (HPS),Fever - Muscle aches - Shortness of breath - Fatigue,Avoiding rodent contact - Rodent control - No specific treatment,Supportive care - Oxygen therapy - Mechanical ventilation
Rabies,Fever - Headache - Anxiety - Hydrophobia (fear of water),Preventive vaccination - Post-exposure prophylaxis (PEP) - Animal control,Post-exposure prophylaxis (PEP) - Rabies immune globulin (RIG)
Ebola Virus Disease,Fever - Severe headache - Muscle pain - Fatigue,Infection control - Safe burial practices - Experimental treatments,Symptomatic treatment - Supportive care - Experimental therapies
Cytomegalovirus (CMV),Fatigue - Fever - Sore throat - Swollen glands,Hand hygiene - Avoiding close contact - Safe sex practices,Antiviral medications - Ganciclovir - Valganciclovir
Hand, Foot and Mouth Disease (HFMD),Fever - Sore throat - Mouth sores - Skin rash,Hand hygiene - Isolation - Disinfection of surfaces,Symptomatic treatment - Pain relievers - Oral rehydration
Respiratory Syncytial Virus (RSV),Cough - Runny nose - Fever - Wheezing,Hand hygiene - Avoiding close contact - Respiratory etiquette,Supportive care - Oxygen therapy - Ribavirin
Epstein-Barr Virus (EBV),Fatigue - Sore throat - Swollen lymph nodes - Fever,Hand hygiene - Avoiding close contact - Rest,Supportive care - Corticosteroids - Antiviral medications
Mumps,Swollen salivary glands - Fever - Headache - Muscle aches,Mumps vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers - Ice packs
Zoster (Shingles),Painful rash - Blistering - Itching,Vaccination - Pain management - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
Hantavirus Pulmonary Syndrome (HPS),Fever - Muscle aches - Shortness of breath - Fatigue,Avoiding rodent contact - Rodent control - No specific treatment,Supportive care - Oxygen therapy - Mechanical ventilation
Rabies,Fever - Headache - Anxiety - Hydrophobia (fear of water),Preventive vaccination - Post-exposure prophylaxis (PEP) - Animal control,Post-exposure prophylaxis (PEP) - Rabies immune globulin (RIG)
Norovirus,Gastrointestinal symptoms - Vomiting - Diarrhea - Abdominal cramps,Hand hygiene - Food safety - Isolation,Hydration - Electrolyte replacement - Antiemetics
Hand, Foot and Mouth Disease (HFMD),Fever - Sore throat - Mouth sores - Skin rash,Hand hygiene - Isolation - Disinfection of surfaces,Symptomatic treatment - Pain relievers - Oral rehydration
Herpes Simplex Virus (HSV),Painful sores - Itching - Fever - Headache,Condom use - Avoiding close contact during outbreaks - Antiviral medications,Acyclovir - Valacyclovir - Famciclovir
Hepatitis A,Jaundice - Fatigue - Abdominal pain - Dark urine,Hepatitis A vaccination - Hand hygiene - Safe food and water practices,Supportive care - Rest - Hydration
Hepatitis B,Jaundice - Fatigue - Abdominal pain - Joint pain,Hepatitis B vaccination - Safe sex practices - Avoiding sharing needles,Antiviral medications - Interferon - Liver transplant
Hepatitis C,Fatigue - Jaundice - Abdominal pain - Nausea,Hepatitis C screening - Safe sex practices - Avoiding sharing needles,Direct-acting antivirals (DAAs)
HIV/AIDS,Fatigue - Fever - Weight loss - Night sweats,HIV prevention - Antiretroviral therapy (ART) - Safe sex practices,Highly Active Antiretroviral Therapy (HAART)
Dengue Fever,High fever - Severe headache - Joint and muscle pain - Rash,Mosquito control - Avoiding mosquito bites - Fluid replacement,Supportive care - Pain relievers
West Nile Virus,Fever - Headache - Body aches - Skin rash,Mosquito control - Avoiding mosquito bites - Insect repellents,Supportive care - Pain relievers
Zika Virus,Fever - Rash - Joint pain - Conjunctivitis,Mosquito control - Avoiding mosquito bites - Safe sex practices,Supportive care - Rest - Hydration
Chikungunya Virus,Fever - Joint pain - Rash - Muscle pain,Mosquito control - Avoiding mosquito bites - Symptomatic treatment,Supportive care - Pain relievers
Infectious Mononucleosis (Mono),Fatigue - Sore throat - Swollen lymph nodes - Fever,Avoiding close contact - Rest - Hydration,Supportive care - Corticosteroids - Antiviral medications
Influenza (Flu),Fever - Cough - Fatigue - Body aches,Flu vaccination - Hand hygiene - Respiratory etiquette,Oseltamivir - Zanamivir - Baloxavir
Respiratory Syncytial Virus (RSV),Cough - Runny nose - Fever - Wheezing,Hand hygiene - Avoiding close contact - Respiratory etiquette,Supportive care - Oxygen therapy - Ribavirin
Epstein-Barr Virus (EBV),Fatigue - Sore throat - Swollen lymph nodes - Fever,Hand hygiene - Avoiding close contact - Rest,Supportive care - Corticosteroids - Antiviral medications
Human Papillomavirus (HPV),Genital warts - Cervical dysplasia - Throat cancer - No symptoms,HPV vaccination - Safe sex practices - Pap smears,Podophyllotoxin - Imiquimod - Cryotherapy
Measles,High fever - Cough - Runny nose - Koplik spots (white spots in the mouth),Measles vaccination - Isolation - Vitamin A supplements,Supportive care - Vitamin A supplementation
Mumps,Swollen salivary glands - Fever - Headache - Muscle aches,Mumps vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers - Ice packs
Rubella (German Measles),Pink rash - Mild fever - Swollen lymph nodes,Rubella vaccination - Isolation - Symptomatic treatment,Supportive care - Pain relievers
Molluscum Contagiosum,Small, raised bumps - White or waxy in appearance,Avoiding skin-to-skin contact - Topical treatments - Cryotherapy,Cantharidin - Imiquimod - Curettage
Human Parainfluenza Viruses,Croup - Cough - Sore throat - Runny nose,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Antiviral medications
Coronaviruses,Respiratory symptoms - Fever - Cough - Shortness of breath,Hand hygiene - Mask-wearing - Social distancing - Vaccination,Remdesivir - Dexamethasone - Monoclonal antibodies
Adenovirus Infections,Fever - Sore throat - Pink eye - Gastroenteritis,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Antiviral medications
Enterovirus D68 (EV-D68),Respiratory symptoms - Wheezing - Difficulty breathing,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Oxygen therapy - Mechanical ventilation
Astrovirus Infections,Diarrhea - Vomiting - Abdominal pain,Hand hygiene - Food safety - Avoiding contaminated water,Hydration - Electrolyte replacement - Symptomatic treatment
Bornholm Disease (Coxsackievirus),Chest pain - Fever - Abdominal pain - Painful breathing,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Pain relievers - Anti-inflammatories
Hand, Foot and Mouth Disease (HFMD),Fever - Sore throat - Mouth sores - Skin rash,Hand hygiene - Isolation - Disinfection of surfaces,Symptomatic treatment - Pain relievers - Oral rehydration
Parvovirus B19 Infection,Fever - Rash (slapped cheek appearance) - Joint pain,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Pain relievers - Anti-inflammatories
Reovirus Infections,Fever - Gastroenteritis - Respiratory symptoms,Hand hygiene - Respiratory etiquette - Avoiding close contact,Supportive care - Symptomatic treatment
Astrovirus Infections,Diarrhea - Vomiting - Abdominal pain,Hand hygiene - Food safety - Avoiding contaminated water,Hydration - Electrolyte replacement - Symptomatic treatment
Norovirus,Gastrointestinal symptoms - Vomiting - Diarrhea - Abdominal cramps,Hand hygiene - Food safety - Isolation,Hydration - Electrolyte replacement - Antiemetics
Coronary Artery Disease (CAD),Chest pain (angina) - Shortness of breath - Fatigue,Smoking - High blood pressure - High cholesterol - Diabetes,Medications (statins, beta-blockers) - Angioplasty - Coronary artery bypass grafting (CABG)
Heart Attack (Myocardial Infarction),Chest pain or discomfort - Shortness of breath - Sweating,Smoking - High blood pressure - High cholesterol - Obesity,Aspirin - Thrombolytics - Percutaneous coronary intervention (PCI)
Heart Failure,Shortness of breath - Fatigue - Swelling in legs and abdomen,Coronary artery disease - Hypertension - Diabetes - Obesity,Diuretics - ACE inhibitors - Beta-blockers - Heart transplant
Arrhythmia (Atrial Fibrillation),Irregular heartbeat - Chest pain - Fatigue,Hypertension - Diabetes - Aging - Heart valve disease,Medications (anticoagulants, antiarrhythmics) - Cardioversion - Ablation
Heart Valve Disease,Shortness of breath - Chest pain - Fatigue,Aging - Rheumatic fever - Congenital heart defects,Medications (diuretics, ACE inhibitors) - Valve repair or replacement
Aortic Aneurysm,Chest or back pain - Difficulty swallowing - Shortness of breath,Aging - High blood pressure - Smoking,Surgery (aneurysm repair) - Endovascular stent graft
Peripheral Artery Disease (PAD),Leg pain - Numbness - Coldness in limbs,Smoking - Diabetes - High blood pressure - Aging,Exercise - Medications (antiplatelets, statins) - Angioplasty
Cardiomyopathy,Shortness of breath - Swelling in legs - Fatigue,Genetics - Infections - Alcohol abuse - Diabetes,Medications (beta-blockers, ACE inhibitors) - Implantable devices - Heart transplant
Mitral Valve Prolapse (MVP),Irregular heartbeat - Chest pain - Fatigue,Genetics - Connective tissue disorders - Female gender,Beta-blockers - Surgery (valve repair or replacement)
Hypertrophic Cardiomyopathy (HCM),Shortness of breath - Chest pain - Fainting,Genetics - High blood pressure - Aging,Beta-blockers - Calcium channel blockers - Septal myectomy
Pericarditis,Chest pain - Fever - Fatigue,Viral infections - Autoimmune disorders - Kidney failure,Nonsteroidal anti-inflammatory drugs (NSAIDs) - Colchicine
Endocarditis,Fever - Fatigue - Heart murmur,Heart valve abnormalities - Intravenous drug use - Dental procedures,Intravenous antibiotics - Valve repair or replacement
Myocarditis,Chest pain - Shortness of breath - Fatigue,Viral infections - Autoimmune disorders - Drug reactions,Supportive care - Medications (corticosteroids, immunosuppressants)
Rheumatic Heart Disease,Chest pain - Shortness of breath - Fatigue,Untreated strep throat - Rheumatic fever,Medications (antibiotics, anti-inflammatory drugs) - Valve repair or replacement
Acute Coronary Syndrome (ACS),Chest pain or discomfort - Shortness of breath - Nausea,Smoking - High blood pressure - High cholesterol - Diabetes,Aspirin - Thrombolytics - Percutaneous coronary intervention (PCI)
Cardiac Arrest,Sudden loss of consciousness - No pulse - No breathing,Coronary artery disease - Previous heart attack - Arrhythmias,CPR - Defibrillation - Advanced life support
Brugada Syndrome,Fainting - Irregular heartbeat - Sudden cardiac arrest,Genetic mutations - Family history,Implantable cardioverter-defibrillator (ICD) - Medications (sodium channel blockers)
Long QT Syndrome,Fainting - Irregular heartbeat - Sudden cardiac arrest,Genetic mutations - Medications (certain antibiotics, antiarrhythmics),Beta-blockers - ICD - Avoidance of triggering medications
Wolff-Parkinson-White Syndrome,Rapid heartbeat - Palpitations - Dizziness,Genetic mutations - Accessory pathways in the heart,Medications (antiarrhythmics) - Catheter ablation
Atrial Septal Defect (ASD),Shortness of breath - Fatigue - Heart palpitations,Genetics - Family history - Age,Observation - Closure with catheter-based procedures or surgery
Ventricular Septal Defect (VSD),Shortness of breath - Poor growth - Sweating,Genetics - Family history - Age,Observation - Closure with catheter-based procedures or surgery
Aortic Stenosis,Chest pain - Shortness of breath - Fatigue,Aging - Congenital heart defects - Rheumatic fever,Medications (diuretics, ACE inhibitors) - Valve replacement surgery
